event_id,schedule_type,date,weekday,start_time,end_time,recurrence,faculty,course,stream,language,group_block,group_or_stream,faculty_course_stream,teacher_abbr,teacher_name,teacher_name_full,room,location,topic,needs_review,source_file,source_row,raw_line,search_blob,teacher_alias_blob,group_alias_blob,teacher_date_key,group_time_key
P0001,Практические занятия,,Понедельник,08:00,10:15,еженедельно,Стоматологический факультет,2.0,2 поток,RU,Стоматологический факультет 2 поток,7211,Стоматологический факультет / 2 курс / 2 поток,АГ,Чабан Алла Геннадьевна,Чабан Алла Геннадьевна,143,,,,Расписание_26_08_ФИНАЛ.docx,,7211 АГ 143,практические занятия | понедельник | 8:00 | 10:15 | 7211 | аг | чабан анна геннадьевна | 143,АГ | Чабан Анна Геннадьевна | Геннадьевна | Ч А Г,7211 | 7211 group | group 7211 | гр 7211 | группа 7211,АГ | ,7211 | Понедельник | 8:00-10:15
P0002,Практические занятия,,Понедельник,08:00,10:15,еженедельно,"МФИУ, Dentistry",2.0,,RU,"МФИУ, Dentistry ",6244,"МФИУ, Dentistry / 2 курс",ДАД,Данченко Александр Дмитриевич,Данченко Александр Дмитриевич,129,,,,Расписание_26_08_ФИНАЛ.docx,,6244  ДАД 129,практические занятия | понедельник | 8:00 | 10:15 | 6244 | дад | данченко александр дмитриевич | 129,ДАД | Данченко Александр Дмитриевич | Дмитриевич | Д А Д,6244 | 6244 group | group 6244 | гр 6244 | группа 6244,ДАД | ,6244 | Понедельник | 8:00-10:15
P0003,Практические занятия,,Вторник,08:00,10:15,еженедельно,Стоматологический факультет,2.0,2 поток,RU,Стоматологический факультет 2 поток,7213,Стоматологический факультет / 2 курс / 2 поток,ПТА,Пупа Татьяна Александровна,Пупа Татьяна Александровна,102,,,,Расписание_26_08_ФИНАЛ.docx,,7213 ПТА 102,практические занятия | вторник | 8:00 | 10:15 | 7213 | пта | пупа татьяна александровна | 102,ПТА | Пупа Татьяна Александровна | Александровна | П Т А,7213 | 7213 group | group 7213 | гр 7213 | группа 7213,ПТА | ,7213 | Вторник | 8:00-10:15
P0004,Практические занятия,,Среда,08:00,10:15,еженедельно,"МФИУ, Dentistry",2.0,,RU,"МФИУ, Dentistry ",6240,"МФИУ, Dentistry / 2 курс",ЛХ,Эль Сахмарани Латифа Холедовна,Эль Сахмарани Латифа Холедовна,102,,,,Расписание_26_08_ФИНАЛ.docx,,6240 МО 102,практические занятия | среда | 8:00 | 10:15 | 6240 | мо | абаимова мария олеговна | 102,МО | Абаимова Мария Олеговна | Олеговна | А М О,6240 | 6240 group | group 6240 | гр 6240 | группа 6240,МО | ,6240 | Среда | 8:00-10:15
P0005,Практические занятия,,Среда,08:00,10:15,еженедельно,"МФИУ, Dentistry",2.0,,RU,"МФИУ, Dentistry ",6245,"МФИУ, Dentistry / 2 курс",АГ,Чабан Алла Геннадьевна,Чабан Алла Геннадьевна,127,,,,Расписание_26_08_ФИНАЛ.docx,,6245 АГ 128,практические занятия | среда | 8:00 | 10:15 | 6245 | аг | чабан анна геннадьевна | 128,АГ | Чабан Анна Геннадьевна | Геннадьевна | Ч А Г,6245 | 6245 group | group 6245 | гр 6245 | группа 6245,АГ | ,6245 | Среда | 8:00-10:15
P0006,Практические занятия,,Четверг,08:00,10:15,еженедельно,Стоматологический факультет,2.0,1 поток,RU,Стоматологический факультет 1 поток,7208,Стоматологический факультет / 2 курс / 1 поток,ПАИ,Печурский Алексей Ильич,Печурский Алексей Ильич,127,,,,Расписание_26_08_ФИНАЛ.docx,,7208  ПАИ 127,практические занятия | четверг | 8:00 | 10:15 | 7208 | паи | печурский александр игоревич | 127,ПАИ | Печурский Александр Игоревич | Игоревич | П А И,7208 | 7208 group | group 7208 | гр 7208 | группа 7208,ПАИ | ,7208 | Четверг | 8:00-10:15
P0007,Практические занятия,,Четверг,08:00,10:15,еженедельно,Стоматологический факультет,2.0,2 поток,RU,Стоматологический факультет 2 поток,7212,Стоматологический факультет / 2 курс / 2 поток,ФВН,Фоменко Виктор Николаевич,Фоменко Виктор Николаевич,128,,,,Расписание_26_08_ФИНАЛ.docx,,7212  ФВН 128,практические занятия | четверг | 8:00 | 10:15 | 7212 | фвн | фоменко виктор николаевич | 128,ФВН | Фоменко Виктор Николаевич | Николаевич | Ф В Н,7212 | 7212 group | group 7212 | гр 7212 | группа 7212,ФВН | ,7212 | Четверг | 8:00-10:15
P0008,Практические занятия,,Пятница,08:00,10:15,еженедельно,Стоматологический факультет,2.0,1 поток,RU,Стоматологический факультет 1 поток,7201,Стоматологический факультет / 2 курс / 1 поток,СИА,Сергеев Иван Алексеевич,Сергеев Иван Алексеевич,102,,,,Расписание_26_08_ФИНАЛ.docx,,7201 СИА 102,практические занятия | пятница | 8:00 | 10:15 | 7201 | сиа | сергеев иван александрович | 102,СИА | Сергеев Иван Алексеевич | Александрович | С И А,7201 | 7201 group | group 7201 | гр 7201 | группа 7201,СИА | ,7201 | Пятница | 8:00-10:15
P0009,Практические занятия,,Среда,08:00,10:15,еженедельно,Фармацевтический факультет,1.0,,RU,Фармацевтический факультет ,8101,Фармацевтический факультет / 1 курс,ТП,Голодок Татьяна Петровна,Голодок Татьяна Петровна,128,,,,Расписание_26_08_ФИНАЛ.docx,,8101  ТП 127,практические занятия | среда | 8:00 | 10:15 | 8101 | тп | голодок татьяна павловна | 127,ТП | Голодок Татьяна Павловна | Павловна | Г Т П,8101 | 8101 group | group 8101 | гр 8101 | группа 8101,ТП | ,8101 | Среда | 8:00-10:15
P0010,Практические занятия,,Четверг,08:00,10:15,еженедельно,Фармацевтический факультет,1.0,,RU,Фармацевтический факультет ,8102,Фармацевтический факультет / 1 курс,ТП,Голодок Татьяна Петровна,Голодок Татьяна Петровна,143,,,,Расписание_26_08_ФИНАЛ.docx,,8102  ТП 143,практические занятия | четверг | 8:00 | 10:15 | 8102 | тп | голодок татьяна павловна | 143,ТП | Голодок Татьяна Павловна | Павловна | Г Т П,8102 | 8102 group | group 8102 | гр 8102 | группа 8102,ТП | ,8102 | Четверг | 8:00-10:15
P0011,Практические занятия,,Понедельник,08:00,11:00,еженедельно,Педиатрический факультет,2.0,,RU,Педиатрический факультет ,2214,Педиатрический факультет / 2 курс,ФВН,Фоменко Виктор Николаевич,Фоменко Виктор Николаевич,127,,,,Расписание_26_08_ФИНАЛ.docx,,2214 ФВН 127,практические занятия | понедельник | 8:00 | 11:00 | 2214 | фвн | фоменко виктор николаевич | 127,ФВН | Фоменко Виктор Николаевич | Николаевич | Ф В Н,2214 | 2214 group | group 2214 | гр 2214 | группа 2214,ФВН | ,2214 | Понедельник | 8:00-11:00
P0012,Практические занятия,,Понедельник,08:00,11:00,еженедельно,Педиатрический факультет,2.0,,RU,Педиатрический факультет ,2215,Педиатрический факультет / 2 курс,ГАЛ,Григорьян Анастасия Леонтьевна,Григорьян Анастасия Леонтьевна,142-2,,,,Расписание_26_08_ФИНАЛ.docx,,2215 ГАЛ 142-2,практические занятия | понедельник | 8:00 | 11:00 | 2215 | гал | григорьян анастасия леонтьевна | 142-2,ГАЛ | Григорьян Анастасия Леонтьевна | Леонтьевна | Г А Л,2215 | 2215 group | group 2215 | гр 2215 | группа 2215,ГАЛ | ,2215 | Понедельник | 8:00-11:00
P0013,Практические занятия,,Понедельник,08:00,11:00,еженедельно,Военно-медицинский институт,2.0,,RU,Военно-медицинский институт ,4201,Военно-медицинский институт / 2 курс,ВИВ,Власенко Василий Иванович,Власенко Василий Иванович,133,,,,Расписание_26_08_ФИНАЛ.docx,,4201 ВИВ 133,практические занятия | понедельник | 8:00 | 11:00 | 4201 | вив | власенко виктория ивановна | 133,ВИВ | Власенко Василий Иванович | Ивановна | В В И,4201 | 4201 group | group 4201 | гр 4201 | группа 4201,ВИВ | ,4201 | Понедельник | 8:00-11:00
P0014,Практические занятия,,Понедельник,08:00,11:00,еженедельно,"МФИУ, General Medicine",2.0,1 поток,EN,"МФИУ, General Medicine 1 поток",6223ая,"МФИУ, General Medicine / 2 курс / 1 поток",ЮВ,Гайкович Юлия Владимировна,Гайкович Юлия Владимировна,142-1,,,,Расписание_26_08_ФИНАЛ.docx,,6223ая ЮВ 142-1,практические занятия | понедельник | 8:00 | 11:00 | 6223ая | юв | гайкович юлия владимировна | 142-1,ЮВ | Гайкович Юлия Владимировна | Владимировна | Г Ю В,6223ая | 6223ая group | group 6223ая | гр 6223ая | группа 6223ая,ЮВ | ,6223ая | Понедельник | 8:00-11:00
P0015,Практические занятия,,Вторник,08:00,11:00,еженедельно,Педиатрический факультет,2.0,,RU,Педиатрический факультет ,2207,Педиатрический факультет / 2 курс,ЛХ,Эль Сахмарани Латифа Холедовна,Эль Сахмарани Латифа Холедовна,127,,,,Расписание_26_08_ФИНАЛ.docx,,2207  ЛХ 127,практические занятия | вторник | 8:00 | 11:00 | 2207 | лх | эль самархани латифа холедовна | 127,ЛХ | Эль Сахмарани Латифа Холедовна | Холедовна | Э С Л Х,2207 | 2207 group | group 2207 | гр 2207 | группа 2207,ЛХ | ,2207 | Вторник | 8:00-11:00
P0016,Практические занятия,,Вторник,08:00,11:00,еженедельно,Педиатрический факультет,2.0,,RU,Педиатрический факультет ,2208,Педиатрический факультет / 2 курс,ВД,Водянова Валерия Дмитриевна,Водянова Валерия Дмитриевна,128,,,,Расписание_26_08_ФИНАЛ.docx,,2208  ВД 128,практические занятия | вторник | 8:00 | 11:00 | 2208 | вд | водянова виктория дмитриевна | 128,ВД | Водянова Валерия Дмитриевна | Дмитриевна | В В Д,2208 | 2208 group | group 2208 | гр 2208 | группа 2208,ВД | ,2208 | Вторник | 8:00-11:00
P0017,Практические занятия,,Вторник,08:00,11:00,еженедельно,Педиатрический факультет,2.0,,RU,Педиатрический факультет ,2212,Педиатрический факультет / 2 курс,ТП,Голодок Татьяна Петровна,Голодок Татьяна Петровна,143,,,,Расписание_26_08_ФИНАЛ.docx,,2212  ТП 143,практические занятия | вторник | 8:00 | 11:00 | 2212 | тп | голодок татьяна павловна | 143,ТП | Голодок Татьяна Павловна | Павловна | Г Т П,2212 | 2212 group | group 2212 | гр 2212 | группа 2212,ТП | ,2212 | Вторник | 8:00-11:00
P0018,Практические занятия,,Вторник,08:00,11:00,еженедельно,Лечебный факультет,2.0,1 поток,RU,Лечебный факультет 1 поток,1209,Лечебный факультет / 2 курс / 1 поток,ВИВ,Власенко Василий Иванович,Власенко Василий Иванович,133,,,,Расписание_26_08_ФИНАЛ.docx,,1209  ВИВ 133,практические занятия | вторник | 8:00 | 11:00 | 1209 | вив | власенко виктория ивановна | 133,ВИВ | Власенко Василий Иванович | Ивановна | В В И,1209 | 1209 group | group 1209 | гр 1209 | группа 1209,ВИВ | ,1209 | Вторник | 8:00-11:00
P0019,Практические занятия,,Вторник,08:00,11:00,еженедельно,"МФИУ, General Medicine",2.0,2 поток,EN,"МФИУ, General Medicine 2 поток",6228ая,"МФИУ, General Medicine / 2 курс / 2 поток",ДА,Александров Денис Александрович,Александров Денис Александрович,142-2,,,,Расписание_26_08_ФИНАЛ.docx,,6228ая ДА 142-2,практические занятия | вторник | 8:00 | 11:00 | 6228ая | да | александров денис александрович | 142-2,ДА | Александров Денис Александрович | Александрович | А Д А,6228ая | 6228ая group | group 6228ая | гр 6228ая | группа 6228ая,ДА | ,6228ая | Вторник | 8:00-11:00
P0020,Практические занятия,,Вторник,08:00,11:00,еженедельно,"МФИУ, General Medicine",2.0,2 поток,EN,"МФИУ, General Medicine 2 поток",6229ая,"МФИУ, General Medicine / 2 курс / 2 поток",ЮВ,Гайкович Юлия Владимировна,Гайкович Юлия Владимировна,142-1,,,,Расписание_26_08_ФИНАЛ.docx,,6229ая ЮВ 142-1,практические занятия | вторник | 8:00 | 11:00 | 6229ая | юв | гайкович юлия владимировна | 142-1,ЮВ | Гайкович Юлия Владимировна | Владимировна | Г Ю В,6229ая | 6229ая group | group 6229ая | гр 6229ая | группа 6229ая,ЮВ | ,6229ая | Вторник | 8:00-11:00
